Sr_no,Cases,Education,Applicant_Income,Family_Income,Total_assets,Business_type,Credit,Loan_Amount,Loan_Amount_Term,Rating_Reviewportal,Daily_Sales,Competition,Rent_Wages,Size_Shop,Location,Supply,Total_Workers,No_customers,Freq_Supply_pay,Nature,Loan_Status
266,2,Graduate,4095,3447,3,Yes,Yes,151,360,5,1,4,2,5,3,1,7,4,1,1,Y
267,3,Graduate,4708,1387,0,Yes,Yes,150,360,0,1,4,5,4,5,2,7,1,1,3,Y
268,2,Graduate,4333,1811,3,No,No,160,360,0,2,1,5,2,5,5,2,0,0,5,Y
269,1,Graduate,3418,0,5,No,No,135,360,3,2,5,4,1,5,0,2,2,1,4,N
270,2,Graduate,2876,1560,0,Yes,Yes,90,360,1,3,1,4,5,1,4,1,1,5,0,Y
271,2,Graduate,3237,0,0,Yes,Yes,30,360,1,2,4,3,4,2,4,6,1,3,3,Y
272,1,Graduate,11146,0,4,Yes,No,136,360,1,4,5,0,2,4,0,3,3,2,4,Y
273,2,Graduate,2833,1857,4,No,No,126,360,3,0,5,5,3,4,3,3,3,0,2,Y
274,1,Graduate,2620,2223,1,No,No,150,360,2,0,5,2,1,2,0,2,3,0,1,Y
275,1,Graduate,3900,0,4,Yes,No,90,360,1,3,5,1,2,1,1,5,2,0,0,Y
276,1,Graduate,2750,1842,4,No,No,115,360,2,3,2,0,2,0,5,7,5,2,3,Y
277,1,Graduate,3993,3274,0,No,Yes,207,360,5,3,5,0,0,3,2,1,3,5,2,Y
278,1,Graduate,3103,1300,1,Yes,Yes,80,360,0,0,5,2,2,5,3,4,0,0,3,Y
279,2,Graduate,14583,0,4,No,Yes,436,360,4,3,2,3,3,1,4,6,1,2,2,Y
280,0,Not Graduate,4100,0,5,Yes,No,124,360,5,4,5,2,3,3,2,1,4,1,5,Y
281,2,Not Graduate,4053,2426,5,Yes,Yes,158,360,5,0,5,1,5,0,0,3,3,3,0,N
282,3,Graduate,3927,800,0,No,Yes,112,360,3,3,4,4,0,0,2,5,4,5,1,Y
283,4,Graduate,2301,985.7999878,4,Yes,No,78,180,3,2,3,2,3,4,1,7,3,0,2,Y
284,0,Graduate,1811,1666,1,Yes,Yes,54,360,1,4,3,4,5,2,3,2,2,4,1,Y
285,2,Graduate,20667,0,4,Yes,No,,360,4,0,5,1,3,4,5,3,3,4,5,N
286,1,Graduate,3158,3053,2,Yes,Yes,89,360,2,0,5,2,0,3,1,3,0,3,0,Y
287,2,Graduate,2600,1717,0,No,No,99,300,3,2,3,0,0,2,0,7,5,4,2,N
288,0,Graduate,3704,2000,5,Yes,No,120,360,2,5,1,4,1,5,4,5,4,0,5,Y
289,2,Graduate,4124,0,4,No,No,115,360,0,2,4,4,1,3,4,4,3,3,2,Y
290,4,Graduate,9508,0,5,No,No,187,360,0,0,3,2,3,5,2,3,1,5,3,Y
291,1,Graduate,3075,2416,1,Yes,Yes,139,360,5,5,3,2,3,0,3,4,0,1,1,Y
292,2,Graduate,4400,0,3,Yes,No,127,360,2,2,3,2,4,1,2,4,4,1,1,N
293,0,Graduate,3153,1560,3,No,No,134,360,3,1,0,0,0,4,1,6,3,2,0,Y
294,4,Graduate,5417,0,2,Yes,No,143,480,3,2,4,2,3,3,3,1,1,0,2,N
295,4,Graduate,2383,3334,0,No,No,172,360,1,4,5,0,4,0,2,3,0,3,2,Y
296,4,Graduate,4416,1250,2,No,Yes,110,360,4,1,3,0,3,1,1,1,4,5,1,Y
297,2,Graduate,6875,0,5,No,Yes,200,360,1,4,1,4,4,4,2,6,1,3,2,Y
298,1,Graduate,4666,0,1,Yes,Yes,135,360,1,5,5,3,5,5,3,3,2,2,2,Y
299,1,Graduate,5000,2541,1,No,Yes,151,480,0,0,2,1,3,5,5,5,5,1,3,N
300,1,Graduate,2014,2925,3,No,No,113,360,0,0,1,3,3,5,0,7,3,0,0,N
301,3,Not Graduate,1800,2934,1,Yes,Yes,93,360,4,1,2,1,4,3,2,0,2,0,2,N
302,2,Not Graduate,2875,1750,5,No,Yes,105,360,2,3,5,5,4,2,2,6,3,0,4,Y
303,2,Graduate,5000,0,5,Yes,Yes,132,360,3,3,3,1,2,2,1,5,3,5,1,Y
304,0,Graduate,1625,1803,0,No,No,96,360,4,5,4,2,5,5,0,1,4,1,1,Y
305,2,Graduate,4000,2500,2,No,No,140,360,2,1,5,3,5,2,4,1,0,2,4,Y
306,3,Not Graduate,2000,0,1,No,Yes,,360,1,1,2,3,1,1,0,4,5,0,0,N
307,4,Graduate,3762,1666,4,Yes,Yes,135,360,4,1,0,0,2,4,2,4,0,0,5,Y
308,3,Graduate,2400,1863,1,No,Yes,104,360,3,0,4,5,5,3,1,3,2,0,2,N
309,4,Graduate,20233,0,4,No,Yes,480,360,2,5,4,2,1,1,1,5,1,2,1,N
310,4,Not Graduate,7667,0,2,No,No,185,360,4,3,5,2,3,4,2,0,0,3,0,Y
311,1,Graduate,2917,0,4,No,Yes,84,360,4,4,2,5,5,3,5,7,4,3,0,Y
312,4,Not Graduate,2927,2405,0,Yes,Yes,111,360,4,4,4,0,2,5,2,2,2,0,5,Y
313,4,Graduate,2507,0,3,Yes,No,56,360,3,5,0,4,0,2,5,4,5,0,0,Y
314,0,Graduate,5746,0,0,Yes,No,144,84,5,1,2,1,4,5,3,7,2,5,5,Y
315,1,Graduate,2473,1843,4,Yes,Yes,159,360,5,2,0,1,5,1,5,7,2,4,5,N
316,2,Not Graduate,3399,1640,2,No,Yes,111,180,1,1,4,0,1,3,3,5,1,4,2,Y
317,0,Graduate,3717,0,3,Yes,Yes,120,360,2,1,3,5,1,5,2,2,1,0,5,Y
318,2,Graduate,2058,2134,0,Yes,No,88,360,0,3,2,1,2,5,0,1,2,2,5,Y
319,1,Graduate,3541,0,3,Yes,No,112,360,4,4,0,3,3,3,2,5,0,5,0,Y
320,0,Graduate,10000,0,5,Yes,Yes,155,360,1,1,2,4,3,2,2,7,4,2,5,N
321,2,Graduate,2400,2167,1,No,No,115,360,3,5,5,5,3,5,5,2,2,3,1,Y
322,1,Graduate,4342,189,5,No,No,124,360,1,1,3,3,2,1,1,5,1,2,3,Y
323,3,Not Graduate,3601,1590,1,Yes,Yes,,360,5,3,2,0,0,3,3,0,4,3,1,Y
324,4,Graduate,3166,2985,0,Yes,Yes,132,360,0,3,5,3,3,3,0,1,5,3,1,Y
325,4,Graduate,15000,0,2,No,No,300,360,4,3,5,4,5,0,5,0,2,1,1,Y
326,4,Graduate,8666,4983,4,Yes,Yes,376,360,0,0,3,3,5,5,0,0,3,4,0,N
327,2,Graduate,4917,0,3,No,No,130,360,4,0,2,5,5,4,2,4,3,2,2,Y
328,0,Graduate,5818,2160,1,No,Yes,184,360,2,4,3,0,1,1,3,0,0,5,4,Y
329,3,Graduate,4333,2451,2,Yes,No,110,360,0,5,3,2,4,1,2,4,5,5,3,N
330,1,Graduate,2500,0,4,No,No,67,360,3,2,5,1,2,2,2,1,2,2,1,Y
331,1,Graduate,4384,1793,4,No,No,117,360,2,1,1,4,4,2,3,0,4,0,1,Y
332,0,Graduate,2935,0,1,No,Yes,98,360,3,5,5,5,3,0,0,6,3,1,3,Y
333,2,Graduate,2833,0,5,No,Yes,71,360,2,0,2,3,5,4,0,3,3,1,0,Y
334,0,Graduate,63337,0,4,No,Yes,490,180,1,0,4,1,4,3,2,2,4,3,3,Y
335,0,Graduate,9833,1833,2,No,No,182,180,3,4,0,4,0,4,0,4,1,4,3,Y
336,4,Graduate,5503,4490,4,No,No,70,,3,0,5,0,3,4,0,3,4,5,5,Y
337,0,Graduate,5250,688,3,No,No,160,360,1,1,5,3,2,2,1,2,5,2,3,Y
338,3,Graduate,2500,4600,4,Yes,No,176,360,3,2,1,2,1,2,1,0,0,0,1,Y
339,1,Not Graduate,1830,0,1,Yes,No,,360,0,1,1,1,4,0,1,5,5,0,2,N
340,4,Graduate,4160,0,0,Yes,No,71,360,2,2,5,4,2,4,1,0,3,3,3,Y
341,1,Not Graduate,2647,1587,3,Yes,No,173,360,3,4,0,5,3,5,0,0,0,3,3,N
342,4,Graduate,2378,0,3,Yes,No,46,360,3,0,3,4,4,0,0,0,0,5,3,N
343,3,Not Graduate,4554,1229,0,Yes,No,158,360,0,1,1,3,5,5,4,4,2,4,1,Y
344,3,Not Graduate,3173,0,1,Yes,No,74,360,5,0,0,3,1,0,0,5,5,1,0,Y
345,0,Graduate,2583,2330,2,Yes,Yes,125,360,5,3,2,1,3,2,0,1,2,3,1,Y
346,1,Graduate,2499,2458,5,No,Yes,160,360,5,3,0,1,3,5,5,7,4,5,1,Y
347,0,Not Graduate,3523,3230,3,No,Yes,152,360,0,1,0,3,2,4,0,4,0,4,0,N
348,0,Not Graduate,3083,2168,2,No,No,126,360,5,0,4,3,4,4,3,7,5,2,3,Y
349,1,Graduate,6333,4583,4,No,No,259,360,3,4,5,3,5,2,0,3,1,0,4,Y
350,4,Graduate,2625,6250,1,No,No,187,360,2,1,0,4,0,1,2,1,3,5,1,Y
351,4,Graduate,9083,0,1,No,Yes,228,360,5,2,2,0,1,4,4,2,5,1,4,Y
352,1,Graduate,8750,4167,3,No,No,308,360,3,0,1,1,5,0,5,2,0,1,5,N
353,0,Graduate,2666,2083,1,No,Yes,95,360,4,2,1,0,0,3,0,5,3,4,4,Y
354,2,Graduate,5500,0,4,Yes,Yes,105,360,0,0,0,1,2,4,4,7,4,1,0,N
355,3,Graduate,2423,505,5,No,Yes,130,360,5,2,0,3,2,0,2,3,0,1,4,Y
356,2,Graduate,3813,0,3,No,No,116,180,3,5,2,5,0,1,5,2,4,4,5,Y
357,2,Graduate,8333,3167,5,No,No,165,360,2,2,2,1,3,4,5,0,5,2,5,Y
358,2,Graduate,3875,0,5,No,No,67,360,1,0,5,4,0,0,0,1,5,5,2,N
359,1,Not Graduate,3000,1666,0,Yes,No,100,480,2,0,3,3,3,5,1,1,1,3,4,N
360,3,Graduate,5167,3167,3,Yes,No,200,360,5,0,0,1,4,5,1,6,5,5,5,Y
361,2,Graduate,4723,0,5,Yes,No,81,360,5,1,0,1,5,4,5,7,4,3,4,N
362,2,Graduate,5000,3667,1,Yes,No,236,360,3,4,1,2,5,0,1,3,1,5,3,Y
363,4,Graduate,4750,2333,1,Yes,Yes,130,360,3,3,3,4,5,5,0,3,4,3,1,Y
364,0,Graduate,3013,3033,5,Yes,Yes,95,300,1,1,5,3,5,3,0,6,2,4,4,Y
365,4,Graduate,6822,0,4,Yes,Yes,141,360,1,0,1,3,2,3,1,1,3,4,0,Y
366,3,Not Graduate,6216,0,5,No,No,133,360,1,4,4,2,2,4,4,1,2,2,4,N
367,2,Graduate,2500,0,5,No,Yes,96,480,3,0,5,0,5,2,5,6,0,5,5,N
368,4,Graduate,5124,0,4,No,Yes,124,,2,2,2,1,0,3,2,5,0,5,0,N
369,1,Graduate,6325,0,2,No,Yes,175,360,3,1,5,3,5,0,5,4,0,2,1,Y
370,4,Graduate,19730,5266,0,Yes,Yes,570,360,2,4,2,5,3,1,0,3,2,1,3,N
371,2,Graduate,15759,0,5,Yes,Yes,55,360,1,2,0,1,2,2,0,3,5,3,2,Y
372,1,Graduate,5185,0,1,No,No,155,360,5,1,2,4,0,4,5,6,1,3,5,Y
373,0,Graduate,9323,7873,2,No,No,380,300,5,5,5,5,5,3,0,4,4,1,5,Y
374,0,Graduate,3062,1987,0,No,No,111,180,2,2,3,2,3,3,4,1,3,4,5,N
375,2,Graduate,2764,1459,3,No,Yes,110,360,5,1,5,4,2,3,4,7,5,5,0,Y
376,2,Graduate,4817,923,5,No,Yes,120,180,3,5,1,5,1,1,4,6,2,1,1,Y
377,3,Graduate,8750,4996,5,Yes,No,130,360,4,0,0,2,1,0,5,3,3,0,0,Y
378,4,Graduate,4310,0,0,Yes,Yes,130,360,5,1,3,4,3,5,3,6,1,4,5,Y
379,4,Graduate,3069,0,4,No,Yes,71,480,4,0,5,0,3,5,4,3,3,4,0,N
380,2,Graduate,5391,0,3,No,Yes,130,360,3,3,2,5,5,1,4,7,3,5,3,Y
381,0,Graduate,3333,2500,4,Yes,No,128,360,2,1,1,4,3,0,2,6,1,3,3,Y
382,1,Graduate,5941,4232,0,Yes,No,296,360,3,1,2,5,0,5,4,0,1,2,4,Y
383,3,Graduate,6000,0,0,No,Yes,156,360,0,1,1,4,5,2,5,2,0,0,2,Y
384,1,Graduate,7167,0,5,No,No,128,360,0,1,4,1,2,1,1,2,2,5,3,Y
385,1,Graduate,4566,0,3,Yes,Yes,100,360,5,3,0,3,0,3,3,4,4,0,3,N
386,1,Graduate,3667,0,0,Yes,Yes,113,180,3,3,5,4,5,2,4,0,3,2,3,Y
387,0,Not Graduate,2346,1600,3,No,Yes,132,360,3,0,5,0,1,5,1,2,4,5,2,Y
388,1,Not Graduate,3010,3136,1,No,Yes,,360,2,3,5,2,2,5,2,0,0,0,3,N
389,2,Graduate,2333,2417,0,No,Yes,136,360,2,5,5,1,3,3,0,0,1,0,0,Y
390,1,Graduate,5488,0,0,Yes,No,125,360,3,0,4,3,3,2,2,6,1,0,2,Y
391,1,Graduate,9167,0,0,No,Yes,185,360,4,2,5,5,0,0,4,5,4,0,0,Y
392,3,Graduate,9504,0,3,Yes,Yes,275,360,1,4,0,0,3,5,2,5,4,0,3,Y
393,2,Graduate,2583,2115,1,Yes,No,120,360,5,1,1,3,3,0,0,6,1,3,3,Y
394,1,Not Graduate,1993,1625,3,Yes,Yes,113,180,0,0,1,0,3,5,1,5,5,0,0,Y
395,0,Graduate,3100,1400,3,No,Yes,113,360,5,0,3,2,5,5,1,4,3,5,2,Y
396,1,Graduate,3276,484,0,No,No,135,360,1,3,0,4,3,1,4,6,3,0,1,Y
397,1,Graduate,3180,0,1,No,Yes,71,360,2,0,5,2,4,3,2,4,0,3,3,N
398,1,Graduate,3033,1459,1,No,No,95,360,4,0,3,1,3,4,4,0,5,3,2,Y
399,3,Not Graduate,3902,1666,4,Yes,No,109,360,1,3,5,0,1,0,4,1,0,3,3,Y
400,1,Graduate,1500,1800,0,No,Yes,103,360,0,3,5,3,3,4,4,7,1,2,1,N
401,4,Not Graduate,2889,0,0,Yes,Yes,45,180,0,2,0,3,2,0,3,7,3,0,1,N
402,3,Not Graduate,2755,0,3,No,No,65,300,4,2,4,1,2,0,1,1,1,0,1,N
403,4,Graduate,2500,20000,1,Yes,Yes,103,360,3,3,5,0,5,5,5,7,5,1,0,Y
404,0,Not Graduate,1963,0,5,No,Yes,53,360,3,2,2,5,0,3,2,6,1,2,4,Y
405,1,Graduate,7441,0,3,No,No,194,360,2,2,3,2,2,1,0,4,4,0,1,N
406,3,Graduate,4547,0,3,Yes,No,115,360,2,3,4,4,0,1,3,2,2,0,4,Y
407,4,Not Graduate,2167,2400,0,Yes,No,115,360,0,2,2,4,5,2,4,1,3,4,4,Y
408,4,Not Graduate,2213,0,4,No,No,66,360,2,5,3,0,1,0,2,7,2,2,5,Y
409,2,Graduate,8300,0,4,No,No,152,300,1,2,2,4,3,2,3,0,3,1,5,N
410,2,Graduate,81000,0,3,Yes,Yes,360,360,1,3,3,3,3,2,2,3,5,0,2,N
411,2,Not Graduate,3867,0,1,No,No,62,360,2,2,4,3,2,4,4,4,0,0,0,N
412,0,Graduate,6256,0,2,Yes,No,160,360,1,0,0,2,5,5,3,0,3,5,1,Y
413,1,Not Graduate,6096,0,1,No,No,218,360,5,4,4,4,3,0,2,5,1,1,5,N
414,4,Not Graduate,2253,2033,4,No,No,110,360,0,1,1,2,1,5,4,2,3,2,5,Y
415,1,Not Graduate,2149,3237,3,No,No,178,360,3,2,4,3,4,5,1,0,1,4,5,N
416,2,Graduate,2995,0,1,No,No,60,360,3,5,2,5,4,4,4,3,0,3,0,Y
417,2,Graduate,2600,0,5,No,Yes,160,360,2,2,2,5,2,1,4,4,0,1,1,N
418,3,Graduate,1600,20000,2,No,Yes,239,360,3,2,0,3,5,2,3,2,3,3,1,N
419,0,Graduate,1025,2773,4,No,No,112,360,3,5,4,5,1,4,1,6,1,5,5,Y
420,4,Graduate,3246,1417,1,No,No,138,360,4,5,2,3,1,1,5,1,5,3,0,Y
421,3,Graduate,5829,0,4,No,No,138,360,2,1,5,3,3,5,5,7,3,1,0,Y
422,4,Not Graduate,2720,0,0,No,Yes,80,,1,5,0,0,1,2,1,6,4,3,5,N
423,2,Graduate,1820,1719,2,Yes,No,100,360,4,3,0,2,0,1,4,6,4,2,2,Y
424,4,Graduate,7250,1667,4,No,Yes,110,,3,3,3,1,0,5,1,5,2,0,5,N
425,2,Graduate,14880,0,0,Yes,Yes,96,360,4,0,5,1,4,2,3,5,2,5,0,Y
426,2,Graduate,2666,4300,3,Yes,No,121,360,1,4,3,4,1,5,5,0,4,2,4,Y
427,4,Not Graduate,4606,0,0,Yes,Yes,81,360,2,2,3,1,4,2,1,7,0,2,0,N
428,4,Graduate,5935,0,4,No,No,133,360,2,2,5,3,3,4,3,4,3,1,0,Y
429,4,Graduate,2920,16.12000084,5,Yes,No,87,360,0,5,1,3,0,3,4,4,5,1,4,Y
430,4,Not Graduate,2717,0,4,No,Yes,60,180,4,5,2,2,1,2,0,6,3,4,3,Y
431,0,Graduate,8624,0,2,No,No,150,360,1,3,4,0,0,5,1,3,1,2,1,Y
432,0,Graduate,6500,0,5,No,No,105,360,3,4,3,5,0,2,0,6,1,5,1,N
433,3,Graduate,12876,0,0,Yes,Yes,405,360,2,0,4,4,5,5,4,7,2,0,4,Y
434,0,Graduate,2425,2340,4,No,No,143,360,3,4,1,1,5,0,0,7,0,2,0,Y
435,0,Graduate,3750,0,0,No,No,100,360,2,4,3,4,2,3,2,0,5,5,4,Y
436,3,Graduate,10047,0,0,Yes,Yes,,240,0,0,1,5,5,2,3,7,3,5,2,Y
437,3,Graduate,1926,1851,1,Yes,No,50,360,4,2,3,0,4,0,0,0,3,1,4,Y
438,2,Graduate,2213,1125,2,No,Yes,,360,5,3,5,1,5,4,4,2,4,2,2,Y
439,0,Graduate,10416,0,4,No,No,187,360,0,3,4,2,0,2,0,5,4,5,3,N
440,2,Not Graduate,7142,0,3,No,No,138,360,3,0,5,3,0,0,3,4,3,0,3,Y
441,0,Graduate,3660,5064,5,Yes,No,187,360,3,3,3,1,3,4,1,0,1,5,5,Y
442,2,Graduate,7901,1833,1,Yes,Yes,180,360,5,2,5,2,0,4,2,4,0,1,0,Y
443,3,Not Graduate,4707,1993,2,Yes,Yes,148,360,2,1,1,4,4,4,5,0,5,2,4,Y
444,0,Graduate,37719,0,1,No,No,152,360,0,3,1,5,4,0,5,4,1,3,0,Y
445,3,Graduate,7333,8333,5,No,No,175,300,2,5,1,2,4,2,3,5,3,2,1,Y
446,3,Graduate,3466,1210,3,No,Yes,130,360,4,0,1,5,0,4,4,6,0,0,0,Y
447,4,Not Graduate,4652,0,4,No,No,110,360,3,2,5,3,0,4,5,6,2,3,3,Y
448,2,Graduate,3539,1376,1,Yes,No,55,360,3,1,4,4,0,5,3,2,4,4,0,N
449,0,Graduate,3340,1710,3,Yes,No,150,360,4,3,4,4,1,1,0,5,0,5,5,N
450,3,Not Graduate,2769,1542,3,Yes,Yes,190,360,2,2,5,1,4,3,2,6,3,0,0,N
451,0,Not Graduate,2309,1255,1,No,No,125,360,3,5,4,2,0,3,3,0,2,2,4,N
452,2,Not Graduate,1958,1456,0,No,No,60,300,0,0,3,5,1,1,2,3,5,2,3,Y
453,2,Graduate,3948,1733,5,Yes,No,149,360,4,4,4,2,3,3,5,5,2,3,0,N
454,3,Graduate,2483,2466,2,Yes,No,90,180,5,1,3,5,5,5,3,6,0,4,4,Y
455,1,Graduate,7085,0,4,Yes,No,84,360,2,2,2,0,1,4,3,0,2,5,2,Y
456,1,Graduate,3859,0,3,No,Yes,96,360,4,4,4,0,0,5,4,0,3,2,0,Y
457,3,Graduate,4301,0,2,Yes,No,118,360,3,5,3,1,0,5,1,6,2,5,3,Y
458,1,Graduate,3708,2569,1,Yes,Yes,173,360,4,4,5,4,5,4,0,1,2,4,0,N
459,1,Graduate,4354,0,2,No,Yes,136,360,4,4,4,4,1,5,0,0,5,4,0,Y
460,2,Graduate,8334,0,2,Yes,No,160,360,4,0,3,2,3,3,0,4,4,1,5,N
461,0,Graduate,2083,4083,3,No,Yes,160,360,3,5,3,4,1,5,1,2,4,1,2,Y
462,3,Graduate,7740,0,2,Yes,Yes,128,180,0,4,1,0,4,3,2,7,0,3,4,Y
463,3,Graduate,3015,2188,5,No,Yes,153,360,3,1,4,0,4,2,3,1,2,4,3,Y
464,1,Not Graduate,5191,0,4,Yes,No,132,360,0,1,3,3,2,2,5,0,4,5,2,Y
465,3,Graduate,4166,0,5,Yes,No,98,360,4,1,0,1,4,1,4,1,2,4,5,N
466,2,Graduate,6000,0,0,No,No,140,360,3,1,2,1,5,0,5,1,3,5,3,Y
467,0,Not Graduate,2947,1664,1,Yes,Yes,70,180,0,2,1,5,2,2,1,4,2,3,5,N
468,0,Graduate,16692,0,5,Yes,No,110,360,4,2,2,5,4,4,4,4,2,3,0,Y
469,3,Not Graduate,210,2917,4,Yes,No,98,360,3,4,2,0,4,4,1,7,2,4,2,Y
470,1,Graduate,4333,2451,1,Yes,No,110,360,1,2,2,1,5,5,0,6,4,3,1,N
471,4,Graduate,3450,2079,3,Yes,Yes,162,360,1,0,0,3,3,2,5,4,2,1,1,Y
472,2,Not Graduate,2653,1500,5,Yes,No,113,180,4,2,2,2,5,2,2,5,3,1,3,N
473,0,Graduate,4691,0,2,Yes,Yes,100,360,1,0,1,3,0,2,3,1,1,5,1,Y
474,0,Graduate,2500,0,4,No,No,93,360,3,2,2,2,2,3,5,3,2,3,0,Y
475,4,Graduate,5532,4648,5,No,Yes,162,360,0,2,4,3,1,5,2,6,1,2,0,Y
476,3,Graduate,16525,1014,2,Yes,No,150,360,4,4,0,3,4,2,1,4,2,1,0,Y
477,1,Graduate,6700,1750,0,No,No,230,300,3,3,2,3,2,3,2,3,2,1,2,Y
478,0,Graduate,2873,1872,3,No,Yes,132,360,1,5,4,4,0,0,0,6,3,0,5,N
479,0,Graduate,16667,2250,3,No,No,86,360,4,1,2,5,0,3,0,0,5,5,4,Y
480,3,Graduate,2947,1603,5,No,No,,360,5,2,3,5,0,1,2,1,5,5,3,N
481,1,Not Graduate,4350,0,5,No,No,154,360,3,5,5,5,2,3,4,1,5,4,3,Y
482,4,Not Graduate,3095,0,4,Yes,No,113,360,5,0,4,3,3,5,5,7,1,4,5,Y
483,2,Graduate,2083,3150,4,Yes,No,128,360,3,2,3,0,1,4,5,4,1,4,3,Y
484,4,Graduate,10833,0,3,Yes,Yes,234,360,3,2,4,4,2,4,5,1,4,4,0,Y
485,1,Graduate,8333,0,2,No,No,246,360,4,0,5,4,5,2,0,7,5,5,1,Y
486,0,Not Graduate,1958,2436,4,No,No,131,360,5,2,2,2,2,0,2,6,4,5,0,Y
487,2,Graduate,3547,0,3,Yes,No,80,360,1,0,4,2,5,0,5,2,2,1,3,N
488,4,Graduate,18333,0,1,Yes,Yes,500,360,4,0,4,1,3,5,3,4,1,3,0,N
489,4,Graduate,4583,2083,2,Yes,Yes,160,360,0,0,0,2,4,3,5,1,3,0,0,Y
490,3,Graduate,2435,0,2,No,Yes,75,360,1,1,0,3,4,3,4,3,2,5,5,N
491,3,Not Graduate,2699,2785,5,No,No,96,360,0,4,5,5,4,1,0,7,2,5,0,Y
492,1,Not Graduate,5333,1131,3,No,No,186,360,5,3,5,3,3,2,5,5,2,0,0,Y
493,4,Not Graduate,3691,0,1,No,Yes,110,360,2,2,4,4,2,1,3,2,1,5,0,Y
494,1,Not Graduate,17263,0,1,No,Yes,225,360,3,4,1,1,3,5,2,7,2,4,4,Y
495,0,Graduate,3597,2157,5,No,No,119,360,2,1,0,4,0,3,1,6,4,5,3,N
496,3,Graduate,3326,913,0,Yes,No,105,84,3,0,4,3,4,2,2,3,1,5,3,Y
497,2,Not Graduate,2600,1700,2,Yes,No,107,360,3,2,2,0,2,0,1,2,3,4,5,Y
498,3,Graduate,4625,2857,5,No,Yes,111,12,0,4,1,1,5,0,3,7,0,3,2,Y
499,0,Graduate,2895,0,0,Yes,Yes,95,360,3,5,2,2,1,1,4,3,5,2,4,Y
500,3,Graduate,6283,4416,3,Yes,Yes,209,360,0,2,1,5,3,0,4,4,2,0,2,N
501,0,Graduate,645,3683,4,No,Yes,113,480,3,5,0,3,0,4,1,6,5,0,4,Y
502,4,Graduate,3159,0,3,Yes,No,100,360,0,2,5,2,2,0,5,1,4,1,1,Y
503,3,Graduate,4865,5624,2,No,Yes,208,360,0,4,4,4,1,3,2,6,5,3,3,Y
504,1,Not Graduate,4050,5302,5,Yes,No,138,360,4,3,4,2,4,2,5,6,5,3,5,N
505,0,Not Graduate,3814,1483,2,Yes,No,124,300,2,5,4,5,1,3,3,2,3,2,1,Y
506,0,Graduate,3510,4416,1,No,Yes,243,360,2,2,4,4,5,2,3,7,2,3,0,Y
507,2,Graduate,20833,6667,0,Yes,Yes,480,360,1,0,3,3,4,0,4,5,2,3,0,Y
508,3,Graduate,3583,0,4,No,No,96,360,1,2,1,2,0,4,3,3,3,4,3,N
509,1,Graduate,2479,3013,4,No,Yes,188,360,2,4,0,4,0,0,3,2,1,0,4,Y
510,4,Graduate,13262,0,2,No,Yes,40,360,3,4,5,3,2,1,2,0,3,2,4,Y
511,2,Not Graduate,3598,1287,3,No,Yes,100,360,4,2,1,3,4,0,3,5,4,0,4,N
512,0,Graduate,6065,2004,3,No,Yes,250,360,3,4,2,5,2,1,1,0,2,2,2,Y
513,2,Graduate,3283,2035,0,No,Yes,148,360,2,3,3,3,0,3,2,2,1,1,1,Y
514,0,Graduate,2130,6666,4,No,Yes,70,180,1,1,2,2,4,0,5,3,4,0,4,N
515,3,Graduate,5815,3666,1,Yes,No,311,360,0,1,0,4,0,0,0,2,3,0,1,N
516,3,Graduate,3466,3428,5,Yes,No,150,360,4,3,1,5,1,3,0,4,3,3,2,Y
517,1,Graduate,2031,1632,1,Yes,Yes,113,480,4,4,0,4,2,5,0,3,1,1,1,Y
518,1,Not Graduate,3074,1800,1,No,No,123,360,2,5,5,2,4,4,2,7,2,0,5,N
519,3,Graduate,4683,1915,4,Yes,Yes,185,360,0,2,5,2,3,2,1,5,5,1,2,N
520,0,Not Graduate,3400,0,4,No,Yes,95,360,3,5,4,5,3,1,2,4,3,1,3,N
521,4,Not Graduate,2192,1742,4,Yes,No,45,360,3,3,2,1,5,4,0,1,1,0,0,Y
522,4,Graduate,2500,0,2,Yes,No,55,360,0,3,3,0,4,2,4,6,5,2,0,Y
523,1,Graduate,5677,1424,4,No,No,100,360,0,0,2,3,5,5,1,5,3,5,5,Y
524,0,Graduate,7948,7166,3,Yes,No,480,360,1,1,0,0,4,5,4,3,4,5,4,Y
525,3,Graduate,4680,2087,4,Yes,Yes,,360,3,3,5,0,4,4,5,7,1,3,1,N
526,4,Graduate,17500,0,4,Yes,No,400,360,0,0,5,2,1,4,1,6,0,5,4,Y
527,1,Graduate,3775,0,2,No,No,110,360,3,1,1,2,3,1,2,0,1,5,1,Y
528,3,Not Graduate,5285,1430,2,Yes,Yes,161,360,3,3,4,0,4,2,1,0,2,0,4,Y
529,3,Not Graduate,2679,1302,4,Yes,No,94,360,2,5,2,5,5,1,2,5,3,3,0,Y
530,2,Not Graduate,6783,0,3,No,No,130,360,4,2,4,5,2,4,2,5,1,1,0,Y
531,1,Graduate,1025,5500,2,No,Yes,216,360,0,3,1,3,0,5,2,2,2,5,0,Y
532,2,Graduate,4281,0,0,Yes,No,100,360,5,2,1,5,3,4,3,7,2,2,5,Y
533,1,Graduate,3588,0,4,No,Yes,110,360,2,0,3,2,3,5,1,7,3,2,5,N
534,2,Graduate,11250,0,4,Yes,Yes,196,360,3,3,4,2,1,4,2,7,1,0,1,N
